id,fac,rut,estadoprod,proveedor,producto,clase_modelo,costo_UF,valor_UF,Tipo_Pago,n_pagador,vendedor,fecha_contrato,meses_contrato,meses_renovacion,fecha_factura,fecha_inst_fac,codigo_servicio,ip,gw,ip_router,modelo_router,dir_inst,comentarios
2,0,99.556.110-7,activo,claro,enlace dedicado,100/50,6,16,mensual,1513999,dam,13-12-18,36,32,,,06-01-0010161740,200.29.188.32/29,200.29.188.33,200.29.188.35,CCR-1016-12G,"Pérez Valenzuela 1635, piso 7, Providencia. Santiago Región Metropolitana   Chile ",Enlace de respaldo
3,0,99.556.110-7,activo,telefonica empresas,enlace dedicado,100/50,12.3,15.3,mensual,201504032,dam,20-07-15,60,15,,,PSITIE18959,201.236.135.240/29,201.236.135.241,201.236.135.242,CCR-1016-12G,"Pérez Valenzuela 1635, piso 7, Providencia. Santiago Región Metropolitana   Chile ",Perez valenzuela
4,0,76.848.190-3,activo,telefonica empresas,enlace dedicado,UP a 100-10,0.09,2.6,mensual,201601774-201805476,romina,04-07-18,60,,,09-07-18,PSTIE20068 - PSITIE24837,,,,,"Avenida Valle Norte 961, of 2702, Huechuraba",
5,0,76.424.331-5,activo,telefonica empresas,enlace dedicado,100-20,6.29,8.4,mensual,201503394,,06-05-15,60,,,,PSITIE18827,186.103.222.72/29,186.103.222.73,186.103.222.74,RB-1100,Chañarcillo 1201,
6,0,76.233.391-0,activo,gtd manquehue,adsl,200/100,1.68,0,mensual,cta fac 3233073 - Folio inter 74141731,,04-07-18,,,,,222111785,,,,,,
7,0,76.048.177-7,activo,telefonica empresas,enlace dedicado,100-20,8.3,12,mensual,201503810,,27-08-15,60,,,,PSITIE-18983,201.236.150.64/29,201.236.150.65,201.236.150.66,CRS-125-24G,"Avenida La Dehesa 1844,  Oficina 801",
8,0,76.073.937-5,en traslado,telefonica empresas,enlace dedicado,100-10,7.93,12,mensual,201504770,dam,16-11-15,60,19,,,PSITIE-19273,186.103.228.24/29,186.103.228.25,186.103.228.26,CRS-125-24G,Camino lo Echevers 550,
9,0,96.785.290-2,activo,telefonica empresas,enlace dedicado,100/10,7.2,9,mensual,201501389,,06-05-15,60,,,,PSITIE18679,186.103.218.32/29,186.103.218.33,186.103.218.34,MKT Propio de Cliente,Los Lingues 800,DVR nuevo : 186.103.218.38 DVR antiguo : 186.103.218.38:82
10,0,99.516.750-6,activo,telefonica empresas,enlace dedicado,10-ene,4.15,5.4,mensual,201504892,,06-05-15,60,,,,PSITIE19163,186.103.227.64/29,186.103.227.65,,MKT 952 - dhcpClient,Jose M Balmaceda 98 Santiago,
11,0,77.934.110-0,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,PSITIE-18471,186.103.214.240/29,186.103.214.241,186.103.214.242,RB-751U,,"Bezanilla 1302, Independecia"
12,0,76.385.255-5,de baja,telefonica empresas,enlace dedicado,10-abr,4.56,6,mensual,,,,,,,,PSITIE18509,200.42.191.72/29,200.42.191.73,200.42.191.74,Cisco 881 - SIN MKT,,Folio 01-12-16: 580579
13,0,96.773.060-2,activo,telefonica empresas,enlace dedicado,100-20,9.3,17,mensual,201503690,dam,,,,,07-05-18,PSITIE19277,186.103.228.120/29,186.103.228.121,186.103.228.122,RB-1100,"Los Robles 615, Valle Grande",18-01-17 Down - folio 662489
